	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)
VARIABLES	age_r2	age_r2	age_r2	male_r2	male_r2	male_r2	sibling_r2	sibling_r2	sibling_r2	fathlivh_r2	fathlivh_r2	fathlivh_r2	fathwout_r2	fathwout_r2	fathwout_r2	mothwout_r2	mothwout_r2	mothwout_r2	phone_r2	phone_r2	phone_r2	electri_r2	electri_r2	electri_r2	car_r2	car_r2	car_r2	pchome_r1	pchome_r1	pchome_r1	inthome_r1	inthome_r1	inthome_r1	stpcotskill_r1	stpcotskill_r1	stpcotskill_r1	stpcsrskill_r1	stpcsrskill_r1	stpcsrskill_r1	straven_r1	straven_r1	straven_r1	age_r2	age_r2	age_r2	male_r2	male_r2	male_r2	sibling_r2	sibling_r2	sibling_r2	fathlivh_r2	fathlivh_r2	fathlivh_r2	fathwout_r2	fathwout_r2	fathwout_r2	mothwout_r2	mothwout_r2	mothwout_r2	phone_r2	phone_r2	phone_r2	electri_r2	electri_r2	electri_r2	car_r2	car_r2	car_r2	pchome_r1	pchome_r1	pchome_r1	inthome_r1	inthome_r1	inthome_r1	stpcotskill_r1	stpcotskill_r1	stpcotskill_r1	stpcsrskill_r1	stpcsrskill_r1	stpcsrskill_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	age_r2	age_r2	age_r2	male_r2	male_r2	male_r2	sibling_r2	sibling_r2	sibling_r2	fathlivh_r2	fathlivh_r2	fathlivh_r2	fathwout_r2	fathwout_r2	fathwout_r2	mothwout_r2	mothwout_r2	mothwout_r2	phone_r2	phone_r2	phone_r2	electri_r2	electri_r2	electri_r2	car_r2	car_r2	car_r2	pchome_r1	pchome_r1	pchome_r1	inthome_r1	inthome_r1	inthome_r1	stpcotskill_r1	stpcotskill_r1	stpcotskill_r1	stpcsrskill_r1	stpcsrskill_r1	stpcsrskill_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1	straven_r1
																																																																																																																																										
tcol			0.03			0.01			0.02			-0.00			-0.01			-0.03			-0.03			-0.01			-0.03			-0.01			-0.04			-0.05			0.01			0.06			0.03			0.01			0.02			-0.00			-0.01			-0.03			-0.03			-0.01			-0.03			-0.01			-0.04			-0.05			0.01			0.06	0.06	0.06	0.06	0.06	0.06	0.06			0.03			0.01			0.02			-0.00			-0.01			-0.03			-0.03			-0.01			-0.03			-0.01			-0.04			-0.05			0.01			0.06	0.06	0.06	0.06	0.06	0.06	0.06
			(0.03)			(0.02)			(0.09)			(0.03)			(0.02)			(0.03)			(0.02)			(0.02)			(0.02)			(0.02)			(0.02)			(0.04)			(0.05)			(0.05)			(0.03)			(0.02)			(0.09)			(0.03)			(0.02)			(0.03)			(0.02)			(0.02)			(0.02)			(0.02)			(0.02)			(0.04)			(0.05)			(0.05)	(0.05)	(0.05)	(0.05)	(0.05)	(0.05)	(0.05)			(0.03)			(0.02)			(0.09)			(0.03)			(0.02)			(0.03)			(0.02)			(0.02)			(0.02)			(0.02)			(0.02)			(0.04)			(0.05)			(0.05)	(0.05)	(0.05)	(0.05)	(0.05)	(0.05)	(0.05)
Constant	10.00	10.05	10.03	0.49	0.48	0.48	2.29	2.24	2.25	0.77	0.77	0.77	0.88	0.88	0.88	0.51	0.53	0.53	0.45	0.48	0.48	0.90	0.91	0.91	0.25	0.28	0.28	0.41	0.43	0.43	0.30	0.34	0.34	-0.06	-0.00	-0.00	-0.01	-0.00	-0.00	0.02	0.00	-0.01	10.00	10.05	10.03	0.49	0.48	0.48	2.29	2.24	2.25	0.77	0.77	0.77	0.88	0.88	0.88	0.51	0.53	0.53	0.45	0.48	0.48	0.90	0.91	0.91	0.25	0.28	0.28	0.41	0.43	0.43	0.30	0.34	0.34	-0.06	-0.00	-0.00	-0.01	-0.00	-0.00	0.02	0.00	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	10.00	10.05	10.03	0.49	0.48	0.48	2.29	2.24	2.25	0.77	0.77	0.77	0.88	0.88	0.88	0.51	0.53	0.53	0.45	0.48	0.48	0.90	0.91	0.91	0.25	0.28	0.28	0.41	0.43	0.43	0.30	0.34	0.34	-0.06	-0.00	-0.00	-0.01	-0.00	-0.00	0.02	0.00	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01
	(0.06)	(0.03)	(0.01)***	(0.02)	(0.01)	(0.00)***	(0.06)	(0.03)	(0.02)***	(0.02)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.02)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.02)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.04)	(0.02)	(0.01)	(0.04)	(0.02)	(0.01)	(0.04)	(0.02)	(0.01)	(0.06)	(0.03)	(0.01)***	(0.02)	(0.01)	(0.00)***	(0.06)	(0.03)	(0.02)***	(0.02)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.02)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.02)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.04)	(0.02)	(0.01)	(0.04)	(0.02)	(0.01)	(0.04)	(0.02)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.06)	(0.03)	(0.01)***	(0.02)	(0.01)	(0.00)***	(0.06)	(0.03)	(0.02)***	(0.02)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.02)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.02)	(0.01)	(0.00)***	(0.02)	(0.01)	(0.01)***	(0.04)	(0.02)	(0.01)	(0.04)	(0.02)	(0.01)	(0.04)	(0.02)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)
																																																																																																																																										
Observations	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	587	2,199	2,786	598	2,215	2,813	589	2,179	2,768	610	2,241	2,851	603	2,209	2,812	610	2,241	2,851	610	2,241	2,851	569	2,101	2,670	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	587	2,199	2,786	598	2,215	2,813	589	2,179	2,768	610	2,241	2,851	603	2,209	2,812	610	2,241	2,851	610	2,241	2,851	569	2,101	2,670	2,670	2,670	2,670	2,670	2,670	2,670	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	587	2,199	2,786	598	2,215	2,813	589	2,179	2,768	610	2,241	2,851	603	2,209	2,812	610	2,241	2,851	610	2,241	2,851	569	2,101	2,670	2,670	2,670	2,670	2,670	2,670	2,670
R-squared	0.00	0.00	0.70	0.00	0.00	0.07	0.00	0.00	0.10	0.00	0.00	0.08	0.00	0.00	0.06	0.00	0.00	0.07	0.00	0.00	0.12	0.00	0.00	0.10	0.00	0.00	0.10	0.00	0.00	0.11	0.00	0.00	0.11	0.00	0.00	0.11	0.00	0.00	0.14	0.00	0.00	0.16	0.00	0.00	0.70	0.00	0.00	0.07	0.00	0.00	0.10	0.00	0.00	0.08	0.00	0.00	0.06	0.00	0.00	0.07	0.00	0.00	0.12	0.00	0.00	0.10	0.00	0.00	0.10	0.00	0.00	0.11	0.00	0.00	0.11	0.00	0.00	0.11	0.00	0.00	0.14	0.00	0.00	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.00	0.00	0.70	0.00	0.00	0.07	0.00	0.00	0.10	0.00	0.00	0.08	0.00	0.00	0.06	0.00	0.00	0.07	0.00	0.00	0.12	0.00	0.00	0.10	0.00	0.00	0.10	0.00	0.00	0.11	0.00	0.00	0.11	0.00	0.00	0.11	0.00	0.00	0.14	0.00	0.00	0.16	0.16	0.16	0.16	0.16	0.16	0.16
Standard errors in parentheses																																																																																																																																										
