	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)
VARIABLES	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	pcuwsch_r2	pcuwsch_r2	pcuwsch_r2	pcuwhome_r2	pcuwhome_r2	pcuwhome_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwfri_r2	pcuwfri_r2	pcuwfri_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwfri_r2	pcuytwfri_r2	pcuytwfri_r2	pcthwork_r2	pcthwork_r2	pcthwork_r2	pctgame_r2	pctgame_r2	pctgame_r2	pctmusic_r2	pctmusic_r2	pctmusic_r2	pctvideo_r2	pctvideo_r2	pctvideo_r2	inthome_r2	inthome_r2	inthome_r2	intuweek_r2	intuweek_r2	intuweek_r2	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	pcuwsch_r2	pcuwsch_r2	pcuwsch_r2	pcuwhome_r2	pcuwhome_r2	pcuwhome_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwfri_r2	pcuwfri_r2	pcuwfri_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwfri_r2	pcuytwfri_r2	pcuytwfri_r2	pcthwork_r2	pcthwork_r2	pcthwork_r2	pctgame_r2	pctgame_r2	pctgame_r2	pctmusic_r2	pctmusic_r2	pctmusic_r2	pctvideo_r2	pctvideo_r2	pctvideo_r2	inthome_r2	inthome_r2	inthome_r2	intuweek_r2	intuweek_r2	intuweek_r2
																																																																																																						
pchome_r1			0.41																																																			0.41																																																
			(0.03)***																																																			(0.03)***																																																
tcol			0.40			0.05			0.09			0.01			0.33			-0.11			-0.02			-1.36			18.20			-3.23			-3.78			0.01			0.10			0.04			-0.04			0.03			0.00			0.40			0.05			0.09			0.01			0.33			-0.11			-0.02			-1.36			18.20			-3.23			-3.78			0.01			0.10			0.04			-0.04			0.03			0.00
			(0.03)***			(0.01)***			(0.03)***			(0.03)			(0.02)***			(0.02)***			(0.02)			(2.19)			(4.93)***			(3.67)			(2.06)*			(0.02)			(0.03)**			(0.03)			(0.02)*			(0.02)			(0.02)			(0.03)***			(0.01)***			(0.03)***			(0.03)			(0.02)***			(0.02)***			(0.02)			(2.19)			(4.93)***			(3.67)			(2.06)*			(0.02)			(0.03)**			(0.03)			(0.02)*			(0.02)			(0.02)
male_r2			0.01			0.03			0.06			0.02			0.06			0.16			0.05			3.16			10.02			15.85			1.84			-0.01			0.11			0.04			0.13			0.03			0.04			0.01			0.03			0.06			0.02			0.06			0.16			0.05			3.16			10.02			15.85			1.84			-0.01			0.11			0.04			0.13			0.03			0.04
			(0.02)			(0.01)***			(0.02)***			(0.02)			(0.02)**			(0.02)***			(0.02)**			(1.95)			(2.78)***			(2.37)***			(1.70)			(0.02)			(0.02)***			(0.02)*			(0.02)***			(0.01)**			(0.02)			(0.02)			(0.01)***			(0.02)***			(0.02)			(0.02)**			(0.02)***			(0.02)**			(1.95)			(2.78)***			(2.37)***			(1.70)			(0.02)			(0.02)***			(0.02)*			(0.02)***			(0.01)**			(0.02)
age_r2			-0.00			0.01			0.00			0.03			0.00			0.01			0.02			-0.53			-1.10			2.69			0.74			0.01			-0.00			0.03			0.01			0.01			0.02			-0.00			0.01			0.00			0.03			0.00			0.01			0.02			-0.53			-1.10			2.69			0.74			0.01			-0.00			0.03			0.01			0.01			0.02
			(0.01)			(0.01)**			(0.01)			(0.01)***			(0.01)			(0.02)			(0.01)			(1.00)			(1.27)			(1.65)			(0.84)			(0.01)			(0.01)			(0.01)***			(0.01)			(0.01)			(0.01)			(0.01)			(0.01)**			(0.01)			(0.01)***			(0.01)			(0.02)			(0.01)			(1.00)			(1.27)			(1.65)			(0.84)			(0.01)			(0.01)			(0.01)***			(0.01)			(0.01)			(0.01)
