	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)
VARIABLES	uthelpho_r2	uthelpho_r2	uthelpho_r2	utcaring_r2	utcaring_r2	utcaring_r2	utshopp_r2	utshopp_r2	utshopp_r2	utwstree_r2	utwstree_r2	utwstree_r2	utwstore_r2	utwstore_r2	utwstore_r2	uthwork_r2	uthwork_r2	uthwork_r2	utplay_r2	utplay_r2	utplay_r2	utwattv_r2	utwattv_r2	utwattv_r2	utread_r2	utread_r2	utread_r2	wfrndbest_r2	wfrndbest_r2	wfrndbest_r2	wfrndvist_r2	wfrndvist_r2	wfrndvist_r2	wfrndwork_r2	wfrndwork_r2	wfrndwork_r2	wfrndtot_r2	wfrndtot_r2	wfrndtot_r2	uthelpho_r2	uthelpho_r2	uthelpho_r2	utcaring_r2	utcaring_r2	utcaring_r2	utshopp_r2	utshopp_r2	utshopp_r2	utwstree_r2	utwstree_r2	utwstree_r2	utwstore_r2	utwstore_r2	utwstore_r2	uthwork_r2	uthwork_r2	uthwork_r2	utplay_r2	utplay_r2	utplay_r2	utwattv_r2	utwattv_r2	utwattv_r2	utread_r2	utread_r2	utread_r2	wfrndbest_r2	wfrndbest_r2	wfrndbest_r2	wfrndvist_r2	wfrndvist_r2	wfrndvist_r2	wfrndwork_r2	wfrndwork_r2	wfrndwork_r2	wfrndtot_r2	wfrndtot_r2	wfrndtot_r2
																																																																														
uthelpho_r1			0.24																																							0.24																																				
			(0.02)***																																							(0.02)***																																				
tcol			0.04			-0.03			-0.04			0.00			-0.01			-0.01			-0.03			0.00			-0.05			-0.02			0.02			-0.03			-0.05			0.04			-0.03			-0.04			0.00			-0.01			-0.01			-0.03			0.00			-0.05			-0.02			0.02			-0.03			-0.05
			(0.02)*			(0.03)			(0.02)*			(0.01)			(0.02)			(0.01)			(0.02)			(0.01)			(0.03)*			(0.07)			(0.10)			(0.09)			(0.09)			(0.02)*			(0.03)			(0.02)*			(0.01)			(0.02)			(0.01)			(0.02)			(0.01)			(0.03)*			(0.07)			(0.10)			(0.09)			(0.09)
male_r2			-0.06			-0.01			0.03			0.01			0.03			-0.01			0.08			0.02			-0.01			-0.00			-0.37			-0.09			-0.15			-0.06			-0.01			0.03			0.01			0.03			-0.01			0.08			0.02			-0.01			-0.00			-0.37			-0.09			-0.15
			(0.02)**			(0.02)			(0.01)**			(0.01)			(0.02)			(0.01)			(0.02)***			(0.01)*			(0.02)			(0.07)			(0.09)***			(0.09)			(0.10)			(0.02)**			(0.02)			(0.01)**			(0.01)			(0.02)			(0.01)			(0.02)***			(0.01)*			(0.02)			(0.07)			(0.09)***			(0.09)			(0.10)
age_r2			0.04			-0.02			0.03			0.00			0.03			-0.01			-0.01			-0.00			0.01			0.07			-0.09			-0.02			0.01			0.04			-0.02			0.03			0.00			0.03			-0.01			-0.01			-0.00			0.01			0.07			-0.09			-0.02			0.01
			(0.01)**			(0.01)			(0.01)**			(0.01)			(0.01)**			(0.01)**			(0.01)			(0.01)			(0.01)			(0.05)			(0.06)			(0.06)			(0.09)			(0.01)**			(0.01)			(0.01)**			(0.01)			(0.01)**			(0.01)**			(0.01)			(0.01)			(0.01)			(0.05)			(0.06)			(0.06)			(0.09)
sibling_r2			-0.01			0.00			-0.00			0.01			0.00			-0.00			-0.01			-0.00			-0.00			-0.05			-0.06			0.02			-0.07			-0.01			0.00			-0.00			0.01			0.00			-0.00			-0.01			-0.00			-0.00			-0.05			-0.06			0.02			-0.07
