	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)
VARIABLES	pchome_r2	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	stxo_r2	stxo_r2	stxo_r2	stxo_r2	stpcotskill_r2	stpcotskill_r2	stpcotskill_r2	stpcotskill_r2	stpcsrskill_r2	stpcsrskill_r2	stpcsrskill_r2	stpcsrskill_r2	straven_r2	straven_r2	straven_r2	straven_r2	friendh_r2	friendh_r2	friendh_r2	friendh_r2	efforth_r2	efforth_r2	efforth_r2	efforth_r2	eduexpt_r2	eduexpt_r2	eduexpt_r2	eduexpt_r2	pchome_r2	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	stxo_r2	stxo_r2	stxo_r2	stxo_r2	stpcotskill_r2	stpcotskill_r2	stpcotskill_r2	stpcotskill_r2	stpcsrskill_r2	stpcsrskill_r2	stpcsrskill_r2	stpcsrskill_r2	straven_r2	straven_r2	straven_r2	straven_r2	friendh_r2	friendh_r2	friendh_r2	friendh_r2	efforth_r2	efforth_r2	efforth_r2	efforth_r2	eduexpt_r2	eduexpt_r2	eduexpt_r2	eduexpt_r2
																																																																																
pchome_r1	0.41	0.41	0.49	0.42			0.08				0.09				0.11				0.10				0.22				-0.02				0.03				-0.03				-0.01		0.41	0.41	0.49	0.42			0.08				0.09				0.11				0.10				0.22				-0.02				0.03				-0.03				-0.01	
	(0.03)***	(0.03)***	(0.03)***	(0.03)***			(0.02)***				(0.02)***				(0.04)**				(0.06)				(0.05)***				(0.03)				(0.02)*				(0.02)				(0.02)		(0.03)***	(0.03)***	(0.03)***	(0.03)***			(0.02)***				(0.02)***				(0.04)**				(0.06)				(0.05)***				(0.03)				(0.02)*				(0.02)				(0.02)	
o.g34		-				-				-				-				-				-				-				-				-				-				-				-				-				-				-				-				-				-				-				-		
																																																																																
t_g34		0.42				0.06				0.08				0.76				0.09				0.04				0.03				-0.03				-0.07				-0.06				0.42				0.06				0.08				0.76				0.09				0.04				0.03				-0.03				-0.07				-0.06		
		(0.03)***				(0.03)**				(0.03)**				(0.08)***				(0.07)				(0.07)				(0.05)				(0.02)				(0.02)***				(0.03)*				(0.03)***				(0.03)**				(0.03)**				(0.08)***				(0.07)				(0.07)				(0.05)				(0.02)				(0.02)***				(0.03)*		
t_g56		0.38				0.05				0.10				0.87				0.02				-0.01				0.08				-0.00				-0.03				0.02				0.38				0.05				0.10				0.87				0.02				-0.01				0.08				-0.00				-0.03				0.02		
		(0.04)***				(0.02)**				(0.02)***				(0.07)***				(0.05)				(0.05)				(0.06)				(0.03)				(0.04)				(0.03)				(0.04)***				(0.02)**				(0.02)***				(0.07)***				(0.05)				(0.05)				(0.06)				(0.03)				(0.04)				(0.03)		
male_r2	0.02	0.01	0.01	0.01	0.04	0.03	0.03	0.03	0.06	0.06	0.06	0.06	0.10	0.14	0.13	0.10	0.11	0.13	0.13	0.12	0.26	0.27	0.26	0.27	0.01	0.02	0.02	0.02	0.00	-0.00	-0.00	-0.01	-0.04	-0.03	-0.03	-0.05	-0.03	-0.02	-0.02	-0.03	0.02	0.01	0.01	0.01	0.04	0.03	0.03	0.03	0.06	0.06	0.06	0.06	0.10	0.14	0.13	0.10	0.11	0.13	0.13	0.12	0.26	0.27	0.26	0.27	0.01	0.02	0.02	0.02	0.00	-0.00	-0.00	-0.01	-0.04	-0.03	-0.03	-0.05	-0.03	-0.02	-0.02	-0.03
	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)***	(0.01)***	(0.01)***	(0.01)**	(0.02)***	(0.02)***	(0.02)***	(0.02)***	(0.06)*	(0.05)**	(0.05)**	(0.05)*	(0.03)***	(0.03)***	(0.03)***	(0.03)***	(0.05)***	(0.05)***	(0.05)***	(0.05)***	(0.05)	(0.04)	(0.04)	(0.04)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.03)	(0.02)	(0.02)*	(0.02)	(0.01)	(0.01)	(0.01)**	(0.02)	(0.02)	(0.02)	(0.02)	(0.01)***	(0.01)***	(0.01)***	(0.01)**	(0.02)***	(0.02)***	(0.02)***	(0.02)***	(0.06)*	(0.05)**	(0.05)**	(0.05)*	(0.03)***	(0.03)***	(0.03)***	(0.03)***	(0.05)***	(0.05)***	(0.05)***	(0.05)***	(0.05)	(0.04)	(0.04)	(0.04)	(0.02)	(0.02)	(0.02)	(0.02)	(0.02)	(0.03)	(0.02)	(0.02)*	(0.02)	(0.01)	(0.01)	(0.01)**
age_r2	-0.00	-0.00	-0.00	-0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	-0.00	-0.07	-0.07	-0.07	-0.06	-0.03	-0.03	-0.03	-0.02	0.02	0.02	0.02	0.03	-0.05	-0.05	-0.05	-0.05	-0.01	-0.01	-0.01	-0.00	-0.02	-0.02	-0.02	-0.02	-0.06	-0.06	-0.06	-0.06	-0.00	-0.00	-0.00	-0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	-0.00	-0.07	-0.07	-0.07	-0.06	-0.03	-0.03	-0.03	-0.02	0.02	0.02	0.02	0.03	-0.05	-0.05	-0.05	-0.05	-0.01	-0.01	-0.01	-0.00	-0.02	-0.02	-0.02	-0.02	-0.06	-0.06	-0.06	-0.06
