	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
VARIABLES	age_r2	age_r2	age_r2	male_r2	male_r2	male_r2	sibling_r2	sibling_r2	sibling_r2	fathlivh_r2	fathlivh_r2	fathlivh_r2	fathwout_r2	fathwout_r2	fathwout_r2	mothwout_r2	mothwout_r2	mothwout_r2	phone_r2	phone_r2	phone_r2	electri_r2	electri_r2	electri_r2	car_r2	car_r2	car_r2	pchome_r1	pchome_r1	pchome_r1	inthome_r1	inthome_r1	inthome_r1	stpcotskill_r1	stpcotskill_r1	stpcotskill_r1	stpcsrskill_r1	stpcsrskill_r1	stpcsrskill_r1	straven_r1	straven_r1	straven_r1
																																										
tcol			0.07			-0.01			-0.08			-0.01			-0.02			-0.02			0.00			-0.02			-0.04			-0.00			0.01			0.08			-0.01			0.01
			(0.04)*			(0.03)			(0.07)			(0.02)			(0.02)			(0.03)			(0.02)			(0.02)			(0.03)			(0.03)			(0.03)			(0.06)			(0.08)			(0.06)
wfrndtotplott_r1			-0.04			-0.01			-0.03			0.01			0.01			-0.00			0.00			0.01			-0.00			0.01			0.01			0.05			0.03			0.06
			(0.01)***			(0.01)			(0.02)*			(0.00)			(0.00)**			(0.01)			(0.01)			(0.00)***			(0.00)			(0.01)*			(0.01)*			(0.01)***			(0.01)**			(0.01)***
Constant	10.02	10.08	10.16	0.47	0.49	0.51	2.19	2.31	2.41	0.78	0.77	0.76	0.89	0.88	0.86	0.52	0.54	0.55	0.48	0.48	0.48	0.92	0.91	0.89	0.26	0.30	0.30	0.44	0.42	0.38	0.35	0.33	0.29	0.08	-0.10	-0.22	0.03	-0.03	-0.10	0.04	-0.05	-0.22
	(0.04)	(0.04)	(0.02)***	(0.01)	(0.02)	(0.03)***	(0.04)	(0.05)	(0.08)***	(0.01)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.01)***	(0.01)	(0.02)	(0.02)***	(0.01)	(0.02)	(0.02)***	(0.01)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.01)***	(0.01)	(0.02)	(0.02)***	(0.01)	(0.01)	(0.01)***	(0.03)	(0.03)	(0.03)***	(0.03)	(0.03)	(0.04)**	(0.03)	(0.03)	(0.05)***
																																										
Observations	1,237	1,004	2,241	1,237	1,004	2,241	1,237	1,004	2,241	1,237	1,004	2,241	1,237	1,004	2,241	1,237	1,004	2,241	1,209	990	2,199	1,222	993	2,215	1,197	982	2,179	1,237	1,004	2,241	1,220	989	2,209	1,237	1,004	2,241	1,237	1,004	2,241	1,163	938	2,101
R-squared	0.00	0.00	0.71	0.00	0.00	0.08	0.00	0.00	0.11	0.00	0.00	0.09	0.00	0.00	0.08	0.00	0.00	0.09	0.00	0.00	0.13	0.00	0.00	0.12	0.00	0.00	0.12	0.00	0.00	0.12	0.00	0.00	0.12	0.00	0.00	0.14	0.00	0.00	0.15	0.00	0.00	0.18
Standard errors in parentheses																																										
