	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)
VARIABLES	age_r2	age_r2	age_r2	age_r2	male_r2	male_r2	male_r2	sibling_r2	sibling_r2	sibling_r2	fathlivh_r2	fathlivh_r2	fathlivh_r2	fathwout_r2	fathwout_r2	fathwout_r2	mothwout_r2	mothwout_r2	mothwout_r2	phone_r2	phone_r2	phone_r2	electri_r2	electri_r2	electri_r2	car_r2	car_r2	car_r2	pchome_r1	pchome_r1	pchome_r1	inthome_r1	inthome_r1	inthome_r1	stpcotskill_r1	stpcotskill_r1	stpcotskill_r1	stpcsrskill_r1	stpcsrskill_r1	stpcsrskill_r1	straven_r1	straven_r1	straven_r1
																																											
treatment_school				0.04			0.03			0.21			0.00			0.00			0.03			-0.04			-0.05			0.01			-0.08			-0.05			-0.06			-0.04			-0.22
				(0.06)			(0.02)*			(0.07)***			(0.01)			(0.01)			(0.02)*			(0.02)*			(0.01)***			(0.02)			(0.02)***			(0.02)**			(0.05)			(0.06)			(0.04)***
Constant	10.00	10.07	10.02	10.02	0.50	0.47	0.47	2.33	2.11	2.12	0.77	0.77	0.77	0.88	0.88	0.88	0.55	0.51	0.51	0.48	0.53	0.53	0.91	0.95	0.95	0.28	0.28	0.27	0.44	0.52	0.51	0.34	0.40	0.39	-0.02	0.04	0.04	-0.02	0.02	0.02	-0.08	0.14	0.14
	(0.06)	(0.02)	(0.04)	(0.05)***	(0.01)	(0.01)	(0.01)***	(0.03)	(0.04)	(0.07)***	(0.01)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.02)***	(0.01)	(0.01)	(0.02)***	(0.00)	(0.01)	(0.01)***	(0.01)	(0.01)	(0.02)***	(0.01)	(0.01)	(0.02)***	(0.01)	(0.01)	(0.02)***	(0.02)	(0.03)	(0.05)	(0.02)	(0.03)	(0.06)	(0.02)	(0.03)	(0.04)***
																																											
Observations	610	3,460	1,262	4,722	3,462	1,262	4,724	3,462	1,259	4,721	3,451	1,257	4,708	3,447	1,260	4,707	3,461	1,257	4,718	3,393	1,235	4,628	3,419	1,243	4,662	3,355	1,213	4,568	3,526	1,324	4,850	3,476	1,307	4,783	3,526	1,324	4,850	3,526	1,324	4,850	3,254	1,215	4,469
R-squared	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.05	0.00	0.00	0.01	0.00	0.00	0.03	0.00	0.00	0.04	0.00	0.00	0.03	0.00	0.00	0.03	0.00	0.00	0.02	0.00	0.00	0.04
Standard errors in parentheses																																											
